Datetime,Open,High,Low,Close,Volume,OpenInterest
2024-11-09 00:00:00+00:00,2961.5,2961.51,2961.3,2961.3,7.7064,0
2024-11-09 00:01:00+00:00,2961.3,2961.3,2959.21,2959.21,21.5733,0
2024-11-09 00:02:00+00:00,2959.21,2959.22,2956.96,2958.46,40.47,0
2024-11-09 00:03:00+00:00,2958.73,2958.8,2956.92,2956.92,20.7565,0
2024-11-09 00:04:00+00:00,2956.41,2956.41,2954.83,2955.63,17.5839,0
2024-11-09 00:05:00+00:00,2956.2,2957.28,2955.68,2955.69,32.6913,0
2024-11-09 00:06:00+00:00,2956.29,2961.09,2956.29,2960.89,64.7415,0
2024-11-09 00:07:00+00:00,2960.88,2962.23,2960.71,2961.6,12.2019,0
2024-11-09 00:08:00+00:00,2961.38,2962.74,2961.17,2962.25,29.2549,0
2024-11-09 00:09:00+00:00,2962.25,2964.99,2962.25,2964.86,17.4346,0
2024-11-09 00:10:00+00:00,2964.87,2965.93,2964.85,2965.86,17.0447,0
2024-11-09 00:11:00+00:00,2965.7,2966.39,2965.01,2966.21,23.3305,0
2024-11-09 00:12:00+00:00,2966.4,2972.32,2966.4,2971.47,122.2644,0
2024-11-09 00:13:00+00:00,2971.46,2971.46,2968.7,2969.18,33.838,0
2024-11-09 00:14:00+00:00,2969.17,2970.45,2968.95,2969.03,35.323,0
2024-11-09 00:15:00+00:00,2969.03,2969.25,2968.75,2969.02,28.8038,0
2024-11-09 00:16:00+00:00,2969.02,2969.02,2968.42,2968.94,17.4896,0
2024-11-09 00:17:00+00:00,2968.94,2969.58,2968.94,2969.58,47.6155,0
2024-11-09 00:18:00+00:00,2969.57,2969.57,2968.21,2969.01,13.7749,0
2024-11-09 00:19:00+00:00,2969.0,2969.0,2966.04,2967.0,50.5025,0
2024-11-09 00:20:00+00:00,2966.99,2970.87,2966.67,2969.75,60.7451,0
2024-11-09 00:21:00+00:00,2969.75,2972.23,2969.75,2972.22,75.944,0
2024-11-09 00:22:00+00:00,2972.23,2973.73,2972.23,2973.51,29.533,0
2024-11-09 00:23:00+00:00,2973.52,2974.19,2973.52,2974.1,5.8866,0
2024-11-09 00:24:00+00:00,2974.09,2974.09,2971.78,2973.62,40.9861,0
2024-11-09 00:25:00+00:00,2973.62,2973.62,2971.76,2971.77,23.9894,0
2024-11-09 00:26:00+00:00,2971.77,2973.21,2971.77,2973.21,22.6994,0
2024-11-09 00:27:00+00:00,2973.21,2973.79,2973.2,2973.66,15.6193,0
2024-11-09 00:28:00+00:00,2973.66,2973.67,2970.07,2970.07,31.1276,0
2024-11-09 00:29:00+00:00,2970.07,2970.07,2969.3,2969.3,5.4896,0
2024-11-09 00:30:00+00:00,2969.1,2969.85,2968.95,2969.85,22.1465,0
2024-11-09 00:31:00+00:00,2969.84,2969.84,2968.7,2968.7,20.172,0
2024-11-09 00:32:00+00:00,2968.7,2968.7,2966.8,2966.8,73.5804,0
2024-11-09 00:33:00+00:00,2966.81,2968.04,2966.8,2967.85,100.2385,0
2024-11-09 00:34:00+00:00,2967.85,2967.85,2961.87,2966.0,185.7592,0
2024-11-09 00:35:00+00:00,2966.01,2969.31,2966.0,2969.0,80.4923,0
2024-11-09 00:36:00+00:00,2968.99,2969.0,2968.27,2968.27,13.0395,0
2024-11-09 00:37:00+00:00,2968.27,2968.65,2968.26,2968.65,17.8886,0
2024-11-09 00:38:00+00:00,2968.64,2971.25,2968.49,2971.25,46.7992,0
2024-11-09 00:39:00+00:00,2971.66,2977.84,2970.94,2977.34,200.5676,0
2024-11-09 00:40:00+00:00,2977.45,2981.99,2977.45,2981.0,192.545,0
2024-11-09 00:41:00+00:00,2981.0,2981.0,2979.59,2979.91,115.4602,0
2024-11-09 00:42:00+00:00,2979.63,2981.89,2979.63,2981.74,155.5739,0
2024-11-09 00:43:00+00:00,2981.98,2985.0,2981.45,2985.0,117.3742,0
2024-11-09 00:44:00+00:00,2984.99,2986.49,2984.18,2986.49,39.281,0
2024-11-09 00:45:00+00:00,2986.49,2986.49,2983.51,2984.29,218.7399,0
2024-11-09 00:46:00+00:00,2984.32,2985.99,2984.09,2984.39,242.6414,0
2024-11-09 00:47:00+00:00,2984.38,2987.5,2980.73,2980.73,399.1507,0
