Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,,
2024-11-04 00:00:00+00:00,2456.5263671875,2456.5263671875,2456.5263671875,2456.5263671875,2456.5263671875,0
2024-11-04 00:01:00+00:00,2456.085205078125,2456.085205078125,2456.085205078125,2456.085205078125,2456.085205078125,0
2024-11-04 00:02:00+00:00,2455.089111328125,2455.089111328125,2455.089111328125,2455.089111328125,2455.089111328125,0
2024-11-04 00:04:00+00:00,2452.600341796875,2452.600341796875,2452.600341796875,2452.600341796875,2452.600341796875,2051072
2024-11-04 00:05:00+00:00,2453.18408203125,2453.18408203125,2453.18408203125,2453.18408203125,2453.18408203125,0
2024-11-04 00:06:00+00:00,2454.11083984375,2454.11083984375,2454.11083984375,2454.11083984375,2454.11083984375,0
2024-11-04 00:07:00+00:00,2453.7919921875,2453.7919921875,2453.7919921875,2453.7919921875,2453.7919921875,1978368
2024-11-04 00:09:00+00:00,2453.54150390625,2453.54150390625,2453.54150390625,2453.54150390625,2453.54150390625,9645056
2024-11-04 00:10:00+00:00,2453.950927734375,2453.950927734375,2453.950927734375,2453.950927734375,2453.950927734375,0
2024-11-04 00:11:00+00:00,2453.37841796875,2453.37841796875,2453.37841796875,2453.37841796875,2453.37841796875,8532992
2024-11-04 00:13:00+00:00,2453.65625,2453.65625,2453.65625,2453.65625,2453.65625,1828864
2024-11-04 00:14:00+00:00,2453.63525390625,2453.63525390625,2453.63525390625,2453.63525390625,2453.63525390625,2678784
2024-11-04 00:16:00+00:00,2454.923583984375,2454.923583984375,2454.923583984375,2454.923583984375,2454.923583984375,0
2024-11-04 00:17:00+00:00,2454.513427734375,2454.513427734375,2454.513427734375,2454.513427734375,2454.513427734375,0
2024-11-04 00:18:00+00:00,2453.6806640625,2453.6806640625,2453.6806640625,2453.6806640625,2453.6806640625,0
2024-11-04 00:20:00+00:00,2451.6494140625,2451.6494140625,2451.6494140625,2451.6494140625,2451.6494140625,5033984
2024-11-04 00:22:00+00:00,2451.831787109375,2451.831787109375,2451.831787109375,2451.831787109375,2451.831787109375,0
2024-11-04 00:24:00+00:00,2450.39892578125,2450.39892578125,2450.39892578125,2450.39892578125,2450.39892578125,13140992
2024-11-04 00:25:00+00:00,2450.90966796875,2450.90966796875,2450.90966796875,2450.90966796875,2450.90966796875,1024
2024-11-04 00:26:00+00:00,2451.4287109375,2451.4287109375,2451.4287109375,2451.4287109375,2451.4287109375,2238464
2024-11-04 00:28:00+00:00,2449.677734375,2449.677734375,2449.677734375,2449.677734375,2449.677734375,647168
2024-11-04 00:29:00+00:00,2447.7783203125,2447.7783203125,2447.7783203125,2447.7783203125,2447.7783203125,14152704
2024-11-04 00:30:00+00:00,2447.859375,2447.859375,2447.859375,2447.859375,2447.859375,431104
2024-11-04 00:32:00+00:00,2447.7607421875,2447.7607421875,2447.7607421875,2447.7607421875,2447.7607421875,10195968
2024-11-04 00:33:00+00:00,2447.94384765625,2447.94384765625,2447.94384765625,2447.94384765625,2447.94384765625,0
2024-11-04 00:34:00+00:00,2446.71337890625,2446.71337890625,2446.71337890625,2446.71337890625,2446.71337890625,0
2024-11-04 00:36:00+00:00,2444.890869140625,2444.890869140625,2444.890869140625,2444.890869140625,2444.890869140625,6250496
2024-11-04 00:37:00+00:00,2442.30126953125,2442.30126953125,2442.30126953125,2442.30126953125,2442.30126953125,7168
2024-11-04 00:38:00+00:00,2437.96826171875,2437.96826171875,2437.96826171875,2437.96826171875,2437.96826171875,0
